slug,in_blends,risk_tier,risk_score,alias_terms,practical_curated,overview_curated,evidence_count,pr_counts,pr_bottom_line
bpc-157,1,,,0,0,1,4,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
ghk-cu,1,,,0,0,1,3,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
ipamorelin,1,,,0,0,1,2,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
cjc-1295,1,,,0,0,1,1,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
tb-500,1,,,0,0,1,1,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
cagrilintide,1,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
kpv,1,,,0,0,1,0,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
mots-c,0,,,0,0,1,5,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
melanotan-ii,0,,,0,0,1,4,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
acetyl-hexapeptide-8,0,,,0,0,1,3,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
thymosin-alpha-1,0,,,0,0,1,3,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
aod-9604,0,,,0,0,1,2,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
bremelanotide,0,,,0,0,1,2,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
hexarelin,0,,,0,0,1,2,0/0/0/0,"Pep-Talk curation pending. We avoid speculative claims; this section will be populated with practical, real-world benefi…"
